"Type","OldFullName","NewFullName"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\M.P.E.P. Chapter 1100 — Statutory Invention Registration (SIR) [Pre-AIA]; Pre-Grant Publication and Third-Party Preissuance Submissions","C:\Users\WorkstationAdmin\iCloudDrive\Trash\M.P.E.P. Chapter 1100 — Statutory Invention Registration (SI~b2865c7a"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\M.P.E.P. Chapter 2300 — Interferences [Pre-AIA Filings and Qualifying Post-AIA Filings Only!]","C:\Users\WorkstationAdmin\iCloudDrive\Trash\M.P.E.P. Chapter 2300 — Interferences [Pre-AIA Filings and Q~8c03fc52"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\M.P.E.P. Chapter 400 — Representative of Inventor and Owner","C:\Users\WorkstationAdmin\iCloudDrive\Trash\M.P.E.P. Chapter 400 — Representative of Inventor and Owner"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\M.P.E.P. Chapter 800 — Restriction in Applications Filed Under U.S.C. 111; Double Patenting","C:\Users\WorkstationAdmin\iCloudDrive\Trash\M.P.E.P. Chapter 800 — Restriction in Applications Filed Und~ed3e2cf2"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Maddox, R., Singh, G., and Safranek, R. (2009)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Maddox, R., Singh, G., and Safranek, R. (2009)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Müller, Bellaredj et al. (2019)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Müller, Bellaredj et al. (2019)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Mutnury, B. et al. (2010)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Mutnury, B. et al. (2010)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\objects","C:\Users\WorkstationAdmin\iCloudDrive\Trash\objects"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - Current Trends in Sections 101, 102, 103 and 112","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - ~be3c45d0"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Drafting, Prosecution, and Litigation","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Dra~f7418d7f"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Python 3","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Python 3"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\refs","C:\Users\WorkstationAdmin\iCloudDrive\Trash\refs"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\RFPD 26-2","C:\Users\WorkstationAdmin\iCloudDrive\Trash\RFPD 26-2"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Rotem, E., et al. (2004)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Rotem, E., et al. (2004)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test-classes","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test-classes"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Trash","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Trash"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\US20080218687A1","C:\Users\WorkstationAdmin\iCloudDrive\Trash\US20080218687A1"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Wallman, Jos~c7159d","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Wallman, Jos~c7159d"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git\fsmonitor--daemon","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git\fsmonitor--daemon"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git\hooks","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git\hooks"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git\info","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git\info"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git\objects","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git\objects"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git\refs","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git\refs"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\fsmonitor--daemon\cookies","C:\Users\WorkstationAdmin\iCloudDrive\Trash\fsmonitor--daemon\cookies"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\generated-sources\jaxb","C:\Users\WorkstationAdmin\iCloudDrive\Trash\generated-sources\jaxb"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\generated-sources\jaxb\META-INF","C:\Users\WorkstationAdmin\iCloudDrive\Trash\generated-sources\jaxb\META-INF"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\generated-sources\jaxb\META-INF\JAXB","C:\Users\WorkstationAdmin\iCloudDrive\Trash\generated-sources\jaxb\META-INF\JAXB"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Gradle\Projects","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Gradle\Projects"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\objects\info","C:\Users\WorkstationAdmin\iCloudDrive\Trash\objects\info"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\objects\pack","C:\Users\WorkstationAdmin\iCloudDrive\Trash\objects\pack"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - Current Trends in Sections 101, 102, 103 and 112\2023","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - ~be3c45d0\2023"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - Current Trends in Sections 101, 102, 103 and 112\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Eligibility, Prior Art, Obviousness and Disclosure - ~be3c45d0\2023\Sections"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Drafting, Prosecution, and Litigation\2022","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Dra~f7418d7f\2022"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Drafting, Prosecution, and Litigation\2022\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Patent Fundamentals Bootcamp - An Introduction to Patent Dra~f7418d7f\2022\Sections"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\0750223194","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\0750223194"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\0751648605","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\0751648605"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\1221236346","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\1221236346"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\1352570902","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\1352570902"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\1761984963","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\1761984963"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\PDF\2621013552","C:\Users\WorkstationAdmin\iCloudDrive\Trash\PDF\2621013552"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\refs\heads","C:\Users\WorkstationAdmin\iCloudDrive\Trash\refs\heads"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\refs\tags","C:\Users\WorkstationAdmin\iCloudDrive\Trash\refs\tags"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test\java","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test\java"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test\java\com","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test\java\com"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test\java\com\patentv9","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test\java\com\patentv9"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test\java\com\patentv9\usptocommonapi","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test\java\com\patentv9\usptocommonapi"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test-classes\com","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test-classes\com"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test-classes\com\patentv9","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test-classes\com\patentv9"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\test-classes\com\patentv9\usptocommonapi","C:\Users\WorkstationAdmin\iCloudDrive\Trash\test-classes\com\patentv9\usptocommonapi"
