"Type","OldFullName","NewFullName","NewFullNameLen","WithinLimit"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Faber on Mechanics of Patent Claim Drafting","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Faber on Mechanics of Patent Claim Drafting","106","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Fundamentals of Copyright Law in the Data Era","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Fundamentals of Copyright Law in the Data Era","108","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Fundamentals of Patent Litigation","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Fundamentals of Patent Litigation","96","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Health Care Technology","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Health Care Technology","85","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\How to Write a Patent Application","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\How to Write a Patent Application","96","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Intellectual Property Law Answer Book","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Intellectual Property Law Answer Book","100","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Intellectual Property Law Institute","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Intellectual Property Law Institute","98","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Manual of Patent Examining Procedure","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Manual of Patent Examining Procedure","99","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Medical Devices Law and Regulation Answer Book","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Medical Devices Law and Regulation Answer Book","109","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Open Source Software — from Compliance to Cooperation","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Open Source Software — from Compliance to Cooperation","116","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Claim Construction and Markman Hearings","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Claim Construction and Markman Hearings","109","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Eligibility, Prior Art, Obviousness and Disclosure - Current Trends in Sections 101, 102, 103 and 112","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Eligibility, Prior Art, Obviousness and Disclosure - Current Trends in Sections 101, 102, 103 and 112","171","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Fundamentals Bootcamp - An Introduction to Patent Drafting, Prosecution, and Litigation","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Fundamentals Bootcamp - An Introduction to Patent Drafting, Prosecution, and Litigation","157","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Law - A Practitioner's Guide","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Law - A Practitioner's Guide","98","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Law Institute San Francisco - Critical Issues & Best Practices","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Law Institute San Francisco - Critical Issues & Best Practices","132","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Litigation","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Litigation","80","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Office Exam Course","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Office Exam Course","88","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Prosecution 2021 - A Day of Basic Training","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Patent Prosecution 2021 - A Day of Basic Training","112","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Pharmaceutical and Biotech Patent Law","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Pharmaceutical and Biotech Patent Law","100","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Post-Grant Proceedings Before the Patent Trial and Appeal Board","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Post-Grant Proceedings Before the Patent Trial and Appeal Board","126","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\TechLaw Institute - The Digital Evolution","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\TechLaw Institute - The Digital Evolution","104","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\The Law and Business of Open Source Software","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\The Law and Business of Open Source Software","107","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\The Yale Law Journal","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\The Yale Law Journal","83","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Think Like a Lawyer, Talk Like a Geek - Get Fluent in Technology","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Think Like a Lawyer, Talk Like a Geek - Get Fluent in Technology","127","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023","107","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections","116","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter01_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter01_Adv_Copyright_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter02_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter02_Adv_Copyright_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter03_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Chapter03_Adv_Copyright_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_FacultyBios_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_FacultyBios_Adv_Copyright_Law_2023.pdf","162","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_FM_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_FM_Adv_Copyright_Law_2023.pdf","153","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Index_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_Index_Adv_Copyright_Law_2023.pdf","156","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_TOC_Adv_Copyright_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections\358501_TOC_Adv_Copyright_Law_2023.pdf","154","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","141","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","150","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Advanced Patent Prosecution Workshop 2021 - Claim Drafting & Amendment Writing.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Advanced Patent Prosecution Workshop 2021 - Claim Drafting & Amendment Writing.pdf","224","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 1 - Ethics Issues for Patent Prosecutors.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 1 - Ethics Issues for Patent Prosecutors.pdf","203","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 18 - The Use of “Means Plus Function” Language in Patent Claims.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 18 - The Use of “Means Plus Function” Language in Patent Claims.pdf","226","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 2 - Biotechnology and Patent Law.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 2 - Biotechnology and Patent Law.pdf","195","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 20 - Examiner Interview Best Practices (May 9, 2021).pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 20 - Examiner Interview Best Practices (May 9, 2021).pdf","215","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 4 - The Great Specification Balancing Act.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 4 - The Great Specification Balancing Act.pdf","204","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 7 - Patent Term Adjustment and Recent Legal Developments.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 7 - Patent Term Adjustment and Recent Legal Developments.pdf","219","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 8 - The Winning Mechanical Claim (July 2019).pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Chapter 8 - The Winning Mechanical Claim (July 2019).pdf","207","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Faculty Bios.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Faculty Bios.pdf","167","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Front Matter.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Front Matter.pdf","167","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Index.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Index.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Table of Contents.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections\Table of Contents.pdf","172","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","145","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","154","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter01_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter01_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter02_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter02_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter03_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter03_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter04_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter04_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter05_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter05_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter06_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter06_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter07_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter07_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter08_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter08_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter09_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter09_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter10_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Chapter10_Adv_Trade_Secrets_2023.pdf","198","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_FacultyBios_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_FacultyBios_Adv_Trade_Secrets_2023.pdf","200","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_FM_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_FM_Adv_Trade_Secrets_2023.pdf","191","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Index_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_Index_Adv_Trade_Secrets_2023.pdf","194","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_TOC_Adv_Trade_Secrets_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections\358160_TOC_Adv_Trade_Secrets_2023.pdf","192","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023","107","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections","116","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter01_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter01_Adv_Trademark_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter02_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter02_Adv_Trademark_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter03_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter03_Adv_Trademark_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter04_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Chapter04_Adv_Trademark_Law_2023.pdf","160","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_FacultyBios_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_FacultyBios_Adv_Trademark_Law_2023.pdf","162","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_FM_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_FM_Adv_Trademark_Law_2023.pdf","153","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Index_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_Index_Adv_Trademark_Law_2023.pdf","156","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_TOC_Adv_Trademark_Law_2023.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues\2023\Sections\358483_TOC_Adv_Trademark_Law_2023.pdf","154","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\An International Guide to Patent Case Management for Judges\An International Guide to Patent Case Management for Judges.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\An International Guide to Patent Case Management for Judges\An International Guide to Patent Case Management for Judges.pdf","186","True"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Certificates of Completion\2026242General CPD358111_358109_805873.pdf","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Certificates of Completion\2026242General CPD358111_358109_805873.pdf","132","True"
